inspector_name,inspection_date,slip_no,product_name,start_time,end_time,work_minutes,tehai_no,order_no,bottom_ng_count,slat_ng_count,balance_ng_count,ng_total
加藤葵,2026-01-05,SLIP-0105-031,RS-100X190-BK,08:40:35,08:46:38,6,TEH-260105-041,ORD-260105-041,0,0,0,0
小林陽,2026-01-05,SLIP-0105-032,RS-110X210-WH,08:42:24,08:48:31,6,TEH-260105-042,ORD-260105-042,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-033,RS-90X180-WH,08:47:51,08:53:22,5,TEH-260105-043,ORD-260105-043,0,0,0,0
田中玲,2026-01-05,SLIP-0105-034,RS-90X180-WH,08:48:13,08:53:56,5,TEH-260105-044,ORD-260105-044,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-035,RS-120X200-GY,08:46:49,08:53:00,6,TEH-260105-045,ORD-260105-045,0,0,0,0
小林陽,2026-01-05,SLIP-0105-036,RS-110X210-WH,08:48:38,08:54:33,5,TEH-260105-046,ORD-260105-046,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-037,RS-110X210-WH,08:53:39,08:59:19,5,TEH-260105-047,ORD-260105-047,0,0,0,0
加藤葵,2026-01-06,SLIP-0106-011,RS-90X180-WH,08:12:12,08:18:02,5,TEH-260105-048,ORD-260105-048,0,0,0,0
田中玲,2026-01-05,SLIP-0105-038,RS-120X200-GY,08:54:24,09:00:23,5,TEH-260105-049,ORD-260105-049,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-039,RS-90X180-WH,08:53:15,08:59:24,6,TEH-260105-050,ORD-260105-050,0,0,0,0
小林陽,2026-01-06,SLIP-0106-012,VB-60-90X160-BR,08:12:33,08:17:18,4,TEH-260105-051,ORD-260105-051,0,0,0,0
小林陽,2026-01-05,SLIP-0105-040,RS-100X190-BK,08:55:01,08:59:18,4,TEH-260105-052,ORD-260105-052,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-041,RS-110X210-WH,08:59:49,09:05:38,5,TEH-260105-053,ORD-260105-053,0,0,0,0
田中玲,2026-01-05,SLIP-0105-042,VB-60-90X160-BR,09:00:43,09:06:43,6,TEH-260105-054,ORD-260105-054,0,0,0,0
鈴木ミカ,2026-01-06,SLIP-0106-013,RS-90X180-WH,08:18:33,08:23:55,5,TEH-260105-055,ORD-260105-055,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-043,RS-110X210-WH,08:59:33,09:05:11,5,TEH-260105-056,ORD-260105-056,0,0,0,0
小林陽,2026-01-05,SLIP-0105-044,VB-60-90X160-BR,08:59:36,09:05:17,5,TEH-260105-057,ORD-260105-057,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-045,VB-60-90X160-BR,09:06:07,09:12:02,5,TEH-260105-058,ORD-260105-058,0,0,0,0
田中玲,2026-01-06,SLIP-0106-014,RS-120X200-GY,08:17:37,08:23:20,5,TEH-260105-059,ORD-260105-059,0,0,0,0
田中玲,2026-01-05,SLIP-0105-046,RS-110X210-WH,09:07:06,09:13:04,5,TEH-260105-060,ORD-260105-060,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-047,RS-110X210-WH,09:05:23,09:10:58,5,TEH-260105-061,ORD-260105-061,0,0,0,0
小林陽,2026-01-05,SLIP-0105-048,RS-100X190-BK,09:05:22,09:11:14,5,TEH-260105-062,ORD-260105-062,0,0,0,0
加藤葵,2026-01-06,SLIP-0106-015,RS-110X210-WH,08:18:22,08:24:24,6,TEH-260105-063,ORD-260105-063,0,0,0,0
小林陽,2026-01-06,SLIP-0106-016,RS-100X190-BK,08:17:37,08:22:57,5,TEH-260105-064,ORD-260105-064,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-049,RS-100X190-BK,09:12:30,09:18:12,5,TEH-260105-065,ORD-260105-065,0,0,0,0
田中玲,2026-01-05,SLIP-0105-050,RS-110X210-WH,09:13:26,09:19:04,5,TEH-260105-066,ORD-260105-066,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-051,VB-50-80X150-IV,09:11:18,09:16:39,5,TEH-260105-067,ORD-260105-067,0,0,0,0
小林陽,2026-01-05,SLIP-0105-052,RS-100X190-BK,09:11:36,09:17:29,5,TEH-260105-068,ORD-260105-068,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-053,RS-100X190-BK,09:18:29,09:24:11,5,TEH-260105-069,ORD-260105-069,0,0,0,0
田中玲,2026-01-05,SLIP-0105-054,RS-110X210-WH,09:19:25,09:25:30,6,TEH-260105-070,ORD-260105-070,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-055,VB-60-90X160-BR,09:16:45,09:22:36,5,TEH-260105-071,ORD-260105-071,0,0,0,0
鈴木ミカ,2026-01-06,SLIP-0106-017,VB-60-90X160-BR,08:24:02,08:29:24,5,TEH-260105-072,ORD-260105-072,0,0,0,0
小林陽,2026-01-05,SLIP-0105-056,VB-60-90X160-BR,09:17:46,09:23:04,5,TEH-260105-073,ORD-260105-073,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-057,RS-100X190-BK,09:24:23,09:29:27,5,TEH-260105-074,ORD-260105-074,0,0,0,0
田中玲,2026-01-05,SLIP-0105-058,RS-90X180-WH,09:25:48,09:31:21,5,TEH-260105-075,ORD-260105-075,0,0,0,0
田中玲,2026-01-06,SLIP-0106-018,RS-90X180-WH,08:23:38,08:29:30,5,TEH-260105-076,ORD-260105-076,0,0,0,0
加藤葵,2026-01-06,SLIP-0106-019,VB-50-80X150-IV,08:24:30,08:30:34,6,TEH-260105-077,ORD-260105-077,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-059,RS-120X200-GY,09:22:45,09:27:42,4,TEH-260105-078,ORD-260105-078,0,0,0,0
小林陽,2026-01-05,SLIP-0105-060,RS-100X190-BK,09:23:32,09:29:32,6,TEH-260105-079,ORD-260105-079,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-061,RS-100X190-BK,09:29:52,09:35:28,5,TEH-260105-080,ORD-260105-080,0,0,0,0
田中玲,2026-01-05,SLIP-0105-062,RS-120X200-GY,09:31:46,09:37:24,5,TEH-260105-081,ORD-260105-081,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-063,RS-120X200-GY,09:28:06,09:33:58,5,TEH-260105-082,ORD-260105-082,0,0,0,0
小林陽,2026-01-05,SLIP-0105-064,RS-100X190-BK,09:29:54,09:35:37,5,TEH-260105-083,ORD-260105-083,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-065,VB-50-80X150-IV,09:35:39,09:41:25,5,TEH-260105-084,ORD-260105-084,0,0,0,0
田中玲,2026-01-05,SLIP-0105-066,VB-50-80X150-IV,09:37:47,09:43:09,5,TEH-260105-085,ORD-260105-085,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-067,RS-120X200-GY,09:34:08,09:39:44,5,TEH-260105-086,ORD-260105-086,0,0,0,0
小林陽,2026-01-06,SLIP-0106-020,VB-60-90X160-BR,08:23:14,08:28:41,5,TEH-260105-087,ORD-260105-087,0,0,0,0
小林陽,2026-01-05,SLIP-0105-068,RS-90X180-WH,09:35:43,09:41:27,5,TEH-260105-088,ORD-260105-088,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-069,RS-100X190-BK,09:41:30,09:47:19,5,TEH-260105-089,ORD-260105-089,0,0,0,0
田中玲,2026-01-05,SLIP-0105-070,VB-50-80X150-IV,09:43:18,09:49:11,5,TEH-260105-090,ORD-260105-090,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-071,RS-90X180-WH,09:39:57,09:45:17,5,TEH-260105-091,ORD-260105-091,0,0,0,0
小林陽,2026-01-05,SLIP-0105-072,RS-120X200-GY,09:41:42,09:47:42,6,TEH-260105-092,ORD-260105-092,0,0,0,0
鈴木ミカ,2026-01-06,SLIP-0106-021,RS-100X190-BK,08:29:44,08:35:12,5,TEH-260105-093,ORD-260105-093,0,0,0,0
田中玲,2026-01-06,SLIP-0106-022,RS-120X200-GY,08:29:35,08:35:29,5,TEH-260105-094,ORD-260105-094,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-073,VB-50-80X150-IV,09:47:38,09:53:19,5,TEH-260105-095,ORD-260105-095,0,0,0,0
田中玲,2026-01-05,SLIP-0105-074,RS-110X210-WH,09:49:40,09:55:32,5,TEH-260105-096,ORD-260105-096,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-075,RS-90X180-WH,09:45:41,09:51:28,5,TEH-260105-097,ORD-260105-097,0,0,0,0
小林陽,2026-01-05,SLIP-0105-076,RS-110X210-WH,09:47:58,09:53:36,5,TEH-260105-098,ORD-260105-098,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-077,RS-100X190-BK,09:53:44,09:59:16,5,TEH-260105-099,ORD-260105-099,0,0,0,0
加藤葵,2026-01-06,SLIP-0106-023,VB-60-90X160-BR,08:30:45,08:36:13,5,TEH-260105-100,ORD-260105-100,0,0,0,0
田中玲,2026-01-05,SLIP-0105-078,RS-90X180-WH,09:55:42,10:01:20,5,TEH-260105-101,ORD-260105-101,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-079,VB-50-80X150-IV,09:51:52,09:58:24,6,TEH-260105-102,ORD-260105-102,0,0,0,0
小林陽,2026-01-05,SLIP-0105-080,RS-120X200-GY,09:54:03,09:59:12,5,TEH-260105-103,ORD-260105-103,0,0,0,0
小林陽,2026-01-06,SLIP-0106-024,RS-100X190-BK,08:29:03,08:35:01,5,TEH-260105-104,ORD-260105-104,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-081,RS-120X200-GY,09:59:35,10:04:55,5,TEH-260105-105,ORD-260105-105,0,0,0,0
鈴木ミカ,2026-01-06,SLIP-0106-025,RS-100X190-BK,08:35:42,08:41:25,5,TEH-260105-106,ORD-260105-106,0,0,0,0
田中玲,2026-01-05,SLIP-0105-082,RS-120X200-GY,10:01:36,10:07:57,6,TEH-260105-107,ORD-260105-107,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-083,RS-120X200-GY,09:58:38,10:04:25,5,TEH-260105-108,ORD-260105-108,0,0,0,0
小林陽,2026-01-05,SLIP-0105-084,VB-50-80X150-IV,09:59:38,10:05:15,5,TEH-260105-109,ORD-260105-109,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-085,RS-120X200-GY,10:05:20,10:10:28,5,TEH-260105-110,ORD-260105-110,0,0,0,0
田中玲,2026-01-05,SLIP-0105-086,VB-60-90X160-BR,10:08:20,10:13:48,5,TEH-260105-111,ORD-260105-111,0,0,0,0
田中玲,2026-01-06,SLIP-0106-026,RS-120X200-GY,08:35:35,08:41:02,5,TEH-260105-112,ORD-260105-112,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-087,RS-120X200-GY,10:04:39,10:10:34,5,TEH-260105-113,ORD-260105-113,0,0,0,0
小林陽,2026-01-05,SLIP-0105-088,RS-120X200-GY,10:05:43,10:11:14,5,TEH-260105-114,ORD-260105-114,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-089,VB-60-90X160-BR,10:10:55,10:16:01,5,TEH-260105-115,ORD-260105-115,0,0,0,0
田中玲,2026-01-05,SLIP-0105-090,RS-90X180-WH,10:14:02,10:19:29,5,TEH-260105-116,ORD-260105-116,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-091,RS-120X200-GY,10:10:41,10:15:57,5,TEH-260105-117,ORD-260105-117,0,0,0,0
小林陽,2026-01-05,SLIP-0105-092,RS-110X210-WH,10:11:22,10:16:54,5,TEH-260105-118,ORD-260105-118,0,0,0,0
加藤葵,2026-01-06,SLIP-0106-027,RS-90X180-WH,08:36:37,08:42:16,5,TEH-260105-119,ORD-260105-119,2,1,1,3
鈴木ミカ,2026-01-05,SLIP-0105-093,VB-50-80X150-IV,10:16:09,10:21:28,5,TEH-260105-120,ORD-260105-120,0,0,0,0
田中玲,2026-01-05,SLIP-0105-094,RS-90X180-WH,10:19:56,10:25:32,5,TEH-260105-121,ORD-260105-121,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-095,RS-100X190-BK,10:16:22,10:21:28,5,TEH-260105-122,ORD-260105-122,0,0,0,1
小林陽,2026-01-05,SLIP-0105-096,RS-110X210-WH,10:17:10,10:23:51,6,TEH-260105-123,ORD-260105-123,0,0,0,0
小林陽,2026-01-06,SLIP-0106-028,RS-110X210-WH,08:35:22,08:40:55,5,TEH-260105-124,ORD-260105-124,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-097,VB-60-90X160-BR,10:21:42,10:26:50,5,TEH-260105-125,ORD-260105-125,0,0,0,0
田中玲,2026-01-05,SLIP-0105-098,VB-50-80X150-IV,10:26:01,10:31:19,5,TEH-260105-126,ORD-260105-126,0,0,0,0
鈴木ミカ,2026-01-06,SLIP-0106-029,RS-110X210-WH,08:41:39,08:47:08,5,TEH-260105-127,ORD-260105-127,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-099,RS-90X180-WH,10:21:38,10:26:48,5,TEH-260105-128,ORD-260105-128,0,0,0,0
小林陽,2026-01-05,SLIP-0105-100,RS-110X210-WH,10:24:01,10:29:42,5,TEH-260105-129,ORD-260105-129,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-101,VB-60-90X160-BR,10:26:59,10:32:35,5,TEH-260105-130,ORD-260105-130,0,0,0,0
田中玲,2026-01-05,SLIP-0105-102,RS-90X180-WH,10:31:27,10:37:09,5,TEH-260105-131,ORD-260105-131,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-103,RS-120X200-GY,10:27:03,10:33:03,6,TEH-260105-132,ORD-260105-132,0,0,0,0
小林陽,2026-01-05,SLIP-0105-104,VB-60-90X160-BR,10:30:09,10:36:04,5,TEH-260105-133,ORD-260105-133,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-105,RS-110X210-WH,10:33:05,10:38:38,5,TEH-260105-134,ORD-260105-134,0,0,0,0
田中玲,2026-01-05,SLIP-0105-106,VB-50-80X150-IV,10:37:27,10:43:05,5,TEH-260105-135,ORD-260105-135,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-107,RS-110X210-WH,10:33:12,10:38:18,5,TEH-260105-136,ORD-260105-136,0,0,0,0
小林陽,2026-01-05,SLIP-0105-108,RS-100X190-BK,10:36:18,10:42:09,5,TEH-260105-137,ORD-260105-137,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-109,VB-60-90X160-BR,10:38:43,10:44:43,6,TEH-260105-138,ORD-260105-138,0,0,0,0
田中玲,2026-01-05,SLIP-0105-110,VB-60-90X160-BR,10:43:19,10:48:44,5,TEH-260105-139,ORD-260105-139,3,2,2,3
加藤葵,2026-01-05,SLIP-0105-111,RS-110X210-WH,10:38:47,10:43:38,4,TEH-260105-140,ORD-260105-140,0,0,0,0
田中玲,2026-01-06,SLIP-0106-030,VB-50-80X150-IV,08:41:09,08:46:10,5,TEH-260105-141,ORD-260105-141,0,0,0,0
加藤葵,2026-01-06,SLIP-0106-031,RS-110X210-WH,08:42:36,08:48:11,5,TEH-260105-142,ORD-260105-142,0,0,0,0
小林陽,2026-01-05,SLIP-0105-112,VB-50-80X150-IV,10:42:27,10:49:11,6,TEH-260105-143,ORD-260105-143,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-113,RS-110X210-WH,10:44:52,10:50:25,5,TEH-260105-144,ORD-260105-144,0,0,0,0
小林陽,2026-01-06,SLIP-0106-032,RS-120X200-GY,08:41:25,08:47:42,6,TEH-260105-145,ORD-260105-145,0,0,0,0
田中玲,2026-01-05,SLIP-0105-114,RS-110X210-WH,10:48:55,10:54:42,5,TEH-260105-146,ORD-260105-146,0,0,0,0
鈴木ミカ,2026-01-06,SLIP-0106-033,VB-50-80X150-IV,08:47:17,08:53:01,5,TEH-260105-147,ORD-260105-147,0,0,0,0
田中玲,2026-01-06,SLIP-0106-034,RS-120X200-GY,08:46:30,08:51:46,5,TEH-260105-148,ORD-260105-148,0,0,0,0
加藤葵,2026-01-06,SLIP-0106-035,RS-110X210-WH,08:48:29,08:53:55,5,TEH-260105-149,ORD-260105-149,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-115,RS-120X200-GY,10:43:54,10:50:00,6,TEH-260105-150,ORD-260105-150,0,0,0,0
小林陽,2026-01-05,SLIP-0105-116,VB-60-90X160-BR,10:49:32,10:55:12,5,TEH-260105-151,ORD-260105-151,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-117,VB-60-90X160-BR,10:50:36,10:56:08,5,TEH-260105-152,ORD-260105-152,0,0,0,0
田中玲,2026-01-05,SLIP-0105-118,RS-120X200-GY,10:55:08,11:00:39,5,TEH-260105-153,ORD-260105-153,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-119,RS-120X200-GY,10:50:26,10:56:27,6,TEH-260105-154,ORD-260105-154,0,0,0,0
小林陽,2026-01-05,SLIP-0105-120,VB-60-90X160-BR,10:55:40,11:01:34,5,TEH-260105-155,ORD-260105-155,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-121,VB-60-90X160-BR,10:56:28,11:01:59,5,TEH-260105-156,ORD-260105-156,0,0,0,0
田中玲,2026-01-05,SLIP-0105-122,VB-60-90X160-BR,11:01:09,11:06:52,5,TEH-260105-157,ORD-260105-157,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-123,VB-60-90X160-BR,10:56:43,11:02:22,5,TEH-260105-158,ORD-260105-158,0,0,0,0
小林陽,2026-01-05,SLIP-0105-124,RS-110X210-WH,11:01:55,11:07:44,5,TEH-260105-159,ORD-260105-159,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-125,RS-120X200-GY,11:02:08,11:07:35,5,TEH-260105-160,ORD-260105-160,0,0,0,0
小林陽,2026-01-06,SLIP-0106-036,RS-90X180-WH,08:48:02,08:53:45,5,TEH-260105-161,ORD-260105-161,0,0,0,0
田中玲,2026-01-05,SLIP-0105-126,RS-90X180-WH,11:07:02,11:13:05,6,TEH-260105-162,ORD-260105-162,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-127,RS-90X180-WH,11:02:34,11:07:57,5,TEH-260105-163,ORD-260105-163,0,0,0,0
小林陽,2026-01-05,SLIP-0105-128,VB-50-80X150-IV,11:08:07,11:12:43,4,TEH-260105-164,ORD-260105-164,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-129,RS-110X210-WH,11:07:48,11:13:20,5,TEH-260105-165,ORD-260105-165,0,0,0,0
鈴木ミカ,2026-01-06,SLIP-0106-037,VB-50-80X150-IV,08:53:11,08:59:05,5,TEH-260105-166,ORD-260105-166,0,0,0,0
田中玲,2026-01-05,SLIP-0105-130,RS-90X180-WH,11:13:11,11:18:59,5,TEH-260105-167,ORD-260105-167,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-131,RS-110X210-WH,11:08:25,11:13:39,5,TEH-260105-168,ORD-260105-168,0,0,0,0
田中玲,2026-01-06,SLIP-0106-038,VB-50-80X150-IV,08:52:04,08:57:21,5,TEH-260105-169,ORD-260105-169,1,2,2,2
小林陽,2026-01-05,SLIP-0105-132,VB-60-90X160-BR,11:13:11,11:17:41,4,TEH-260105-170,ORD-260105-170,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-133,RS-110X210-WH,11:13:50,11:20:07,6,TEH-260105-171,ORD-260105-171,0,0,0,0
加藤葵,2026-01-06,SLIP-0106-039,RS-100X190-BK,08:54:18,09:00:08,5,TEH-260105-172,ORD-260105-172,0,0,0,0
小林陽,2026-01-06,SLIP-0106-040,RS-120X200-GY,08:53:50,08:59:14,5,TEH-260105-173,ORD-260105-173,0,0,0,0
田中玲,2026-01-05,SLIP-0105-134,RS-100X190-BK,11:19:14,11:25:07,5,TEH-260105-174,ORD-260105-174,0,0,0,0
鈴木ミカ,2026-01-06,SLIP-0106-041,RS-90X180-WH,08:59:15,09:05:07,5,TEH-260105-175,ORD-260105-175,0,0,0,0
田中玲,2026-01-06,SLIP-0106-042,VB-60-90X160-BR,08:57:26,09:02:31,5,TEH-260105-176,ORD-260105-176,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-135,VB-60-90X160-BR,11:13:58,11:19:47,5,TEH-260105-177,ORD-260105-177,0,0,0,0
小林陽,2026-01-05,SLIP-0105-136,RS-120X200-GY,11:18:04,11:23:39,5,TEH-260105-178,ORD-260105-178,0,0,0,0
加藤葵,2026-01-06,SLIP-0106-043,VB-50-80X150-IV,09:00:25,09:06:31,6,TEH-260105-179,ORD-260105-179,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-137,RS-90X180-WH,11:20:15,11:25:34,5,TEH-260105-180,ORD-260105-180,0,0,0,0
田中玲,2026-01-05,SLIP-0105-138,RS-90X180-WH,11:25:30,11:30:46,5,TEH-260105-181,ORD-260105-181,0,0,0,0
小林陽,2026-01-06,SLIP-0106-044,VB-50-80X150-IV,08:59:25,09:04:27,5,TEH-260105-182,ORD-260105-182,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-139,RS-120X200-GY,11:20:12,11:26:36,6,TEH-260105-183,ORD-260105-183,0,0,0,0
小林陽,2026-01-05,SLIP-0105-140,RS-100X190-BK,11:24:00,11:29:21,5,TEH-260105-184,ORD-260105-184,0,0,0,0
鈴木ミカ,2026-01-06,SLIP-0106-045,RS-90X180-WH,09:05:23,09:11:01,5,TEH-260105-185,ORD-260105-185,0,0,0,0
田中玲,2026-01-06,SLIP-0106-046,VB-60-90X160-BR,09:02:56,09:09:01,6,TEH-260105-186,ORD-260105-186,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-141,RS-120X200-GY,11:25:52,11:31:36,5,TEH-260105-187,ORD-260105-187,0,0,0,0
